NOME_FORNECEDOR;CNPJ_FORNECEDOR;EMAIL_FORNECEDOR;TELEFONE_FORNECEDOR;NUMERO_NF;DATA_EMISSAO;VALOR_NET;VALOR_TRIBUTO;VALOR_TOTAL;NOME_ITEM;QTD_ITEM;CONDICAO_PAGAMENTO;CEP;NUM_ENDERECO;COMPLEMENTO;TIPO_ENDERECO;DATA_PROCESSAMENTO;inconsistencies
ENERGIAS BR;3983431000103;lallans1x@state.gov;778-53-4836;4576383;2023-07-01;180000;9000;189000;Escalade ESV;1;A VISTA;41300760;655;N/A;fornecedor;2023-11-13;invalid CNPJ
ENEVA;4423567000121;myelden1u@usatoday.com;763-57-5758;6299298;2023-07-01;180000;9000;189000;Escalade ESV;1;30/60/90 DIAS;12605120;917;LOTE 70;fornecedor;2023-11-13;invalid CNPJ
EQTL PARA;4895728000180;dbreakwell2d@unesco.org;286-44-7158;7311128;2023-07-01;70000;3000;73000;Azera;1;30/60/90 DIAS;12605180;170;LOTE 74;fornecedor;2023-11-13;invalid CNPJ
EQUATORIAL;3220438000173;rcockman14@twitpic.com;313-34-5254;4884454;2023-07-01;300000;15000;315000;Boxster;1;30/60/90 DIAS;12605210;453;LOTE 41;fornecedor;2023-11-13;invalid CNPJ
DEXXOS PAR;2193750000152;wglendinningk@europa.eu;;;2023-07-01;110000;5000;115000;Cooper;1;30 DIAS;12605170;798;LOTE 72;fornecedor;2023-11-13;null column(s), invalid CNPJ
CURY S/A;8797760000183;myelden1u@usatoday.com;763-57-5758;3301351;2023-07-01;180000;9000;189000;Escalade ESV;1;30/60/90 DIAS;12605120;917;LOTE 70;fornecedor;2023-11-13;invalid CNPJ
DOTZ SA;18174270000184;dbreakwell2d@unesco.org;286-44-7158;4047651;2023-07-01;70000;3000;73000;;1;;12605180;170;LOTE 74;fornecedor;2023-11-13;null column(s)
CTC S.A.;698138100011;azanussii1m@vimeo.com;691-01-7572;5804444;2023-07-01;70000;3000;73000;Azera;1;A VISTA;12605110;11;LOTE 91;fornecedor;2023-11-13;invalid CNPJ
;61486650000183;oschroeder2k@ocn.ne.jp;133-95-3943;6125610;2023-07-01;70000;3000;73000;Azera;1;30/60 DIAS;12605140;445;LOTE 57;fornecedor;2023-11-13;null column(s)
ENERGISA;864214000106;bhallad2@parallels.com;682-90-7397;8038785;2023-07-01;150000;7000;157000;Tacoma;1;A VISTA;41300770;45;LOTE 59;fornecedor;2023-11-13;invalid CNPJ
ELETROMIDIA;9347516000181;ahancock25@wsj.com;214-28-9058;7347699;2023-07-01;110000;5000;115000;Cooper;1;A VISTA;12605130;99;N/A;fornecedor;2023-11-13;invalid CNPJ
EQTL MARANHAO;6272793000184;ccaudrey27@hostgator.com;722-35-9907;7480340;2023-07-01;110000;5000;115000;Cooper;1;30 DIAS;12605070;1223;N/A;fornecedor;2023-11-13;invalid CNPJ
DTCOM DIRECT;3303999000136;myelden1u@usatoday.com;763-57-5758;6302145;2023-07-01;180000;9000;;Escalade ESV;1;30/60/90 DIAS;12605120;917;LOTE 70;fornecedor;2023-11-13;null column(s), invalid CNPJ
ELETROBRAS;1180000126;ccaudrey27@hostgator.com;722-35-9907;4862846;2023-07-01;110000;5000;115000;Cooper;1;30 DIAS;12605070;1223;N/A;fornecedor;2023-11-13;invalid CNPJ
